"","X1","UID","iso2","iso3","code3","FIPS","Admin2","Lat","Combined_Key","Date","Case","Long","Country/Region","Province/State"
"49",196180,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-10,0,-73.97723916,"US","New York"
"50",196181,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-11,0,-73.97723916,"US","New York"
"51",196182,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-12,2,-73.97723916,"US","New York"
"52",196183,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-13,2,-73.97723916,"US","New York"
"53",196184,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-14,7,-73.97723916,"US","New York"
"54",196185,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-15,7,-73.97723916,"US","New York"
"55",196186,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-16,15,-73.97723916,"US","New York"
"56",196187,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-17,25,-73.97723916,"US","New York"
"57",196188,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-18,36,-73.97723916,"US","New York"
"58",196189,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-19,43,-73.97723916,"US","New York"
"59",196190,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-20,70,-73.97723916,"US","New York"
"60",196191,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-21,88,-73.97723916,"US","New York"
"61",196192,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-22,123,-73.97723916,"US","New York"
"62",196193,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-23,127,-73.97723916,"US","New York"
"63",196194,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-24,146,-73.97723916,"US","New York"
"64",196195,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-25,152,-73.97723916,"US","New York"
"65",196196,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-26,171,-73.97723916,"US","New York"
"66",196197,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-27,187,-73.97723916,"US","New York"
"67",196198,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-28,195,-73.97723916,"US","New York"
"68",196199,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-29,205,-73.97723916,"US","New York"
"69",196200,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-30,217,-73.97723916,"US","New York"
"70",196201,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-03-31,226,-73.97723916,"US","New York"
"71",196202,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-01,240,-73.97723916,"US","New York"
"72",196203,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-02,253,-73.97723916,"US","New York"
"73",196204,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-03,267,-73.97723916,"US","New York"
"74",196205,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-04,293,-73.97723916,"US","New York"
"75",196206,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-05,305,-73.97723916,"US","New York"
"76",196207,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-06,319,-73.97723916,"US","New York"
"77",196208,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-07,333,-73.97723916,"US","New York"
"78",196209,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-08,342,-73.97723916,"US","New York"
"79",196210,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-09,379,-73.97723916,"US","New York"
"80",196211,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-10,426,-73.97723916,"US","New York"
"81",196212,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-11,446,-73.97723916,"US","New York"
"82",196213,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-12,478,-73.97723916,"US","New York"
"83",196214,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-13,499,-73.97723916,"US","New York"
"84",196215,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-14,535,-73.97723916,"US","New York"
"85",196216,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-15,548,-73.97723916,"US","New York"
"86",196217,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-16,581,-73.97723916,"US","New York"
"87",196218,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-17,619,-73.97723916,"US","New York"
"88",196219,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-18,648,-73.97723916,"US","New York"
"89",196220,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-19,682,-73.97723916,"US","New York"
"90",196221,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-20,687,-73.97723916,"US","New York"
"91",196222,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-21,704,-73.97723916,"US","New York"
"92",196223,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-22,737,-73.97723916,"US","New York"
"93",196224,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-23,758,-73.97723916,"US","New York"
"94",196225,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-24,805,-73.97723916,"US","New York"
"95",196226,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-25,899,-73.97723916,"US","New York"
"96",196227,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-26,948,-73.97723916,"US","New York"
"97",196228,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-27,979,-73.97723916,"US","New York"
"98",196229,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-28,1009,-73.97723916,"US","New York"
"99",196230,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-29,1067,-73.97723916,"US","New York"
"100",196231,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-04-30,1165,-73.97723916,"US","New York"
"101",196232,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-05-01,1204,-73.97723916,"US","New York"
"102",196233,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-05-02,1238,-73.97723916,"US","New York"
"103",196234,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-05-03,1258,-73.97723916,"US","New York"
"104",196235,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-05-04,1287,-73.97723916,"US","New York"
"105",196236,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-05-05,1294,-73.97723916,"US","New York"
"106",196237,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-05-06,1321,-73.97723916,"US","New York"
"107",196238,84036001,"US","USA",840,36001,"Albany",42.60060306,"Albany, New York, US",2020-05-07,1348,-73.97723916,"US","New York"
